stime,mode,size,color,date,pool,author,dbid,text
261.31400,1,25,16777215,1671825202,0,a4f14f6f,1214116814573850624,11,不种菜怎么办啊？回去了又得被父母强迫着改嫁
229.88200,5,25,16777215,1671815019,0,8e8debf6,1214031386743237376,11,最毁三观的电视剧
793.98100,1,25,16777215,1671810959,0,d09bf72e,1213997332493008384,11,借你吉言
783.01800,1,25,16777215,1671809794,0,c81fd7e1,1213987559806775552,11,谢谢庄嫂
385.02000,1,25,16777215,1671807625,0,2a643439,1213969367927554560,11,什么岁月史书哈哈哈
140.34500,1,25,16777215,1671804620,0,efd0395e,1213944160193875712,11,宝娟嗓原来在这呢
74.48500,1,25,16777215,1671804267,0,dabf3c74,1213941196985074176,11,是我本人了
433.73700,1,25,16777215,1671802443,0,d48ec105,1213925893941004800,11,一般都是台配
126.20100,1,25,16777215,1671802112,0,88c5146d,1213923114929746176,11,宝娟:我的嗓子
143.80400,1,25,16777215,1671801655,0,d063d215,1213919284515100928,11,年底开放，让宝娟一步登顶
663.37200,1,25,16777215,1671801441,0,7c934259,1213917488136371968,11,这个配音是边江哎
788.55600,1,25,16777215,1671801436,0,3429343f,1213917447107921920,11,谢谢庄嫂
29.41800,1,25,16777215,1671798625,0,f7bcee88,1213893863979425792,11,我以为这是前两年的梗
783.03500,1,25,16777215,1671797048,0,68942af4,1213880634909728768,11,谢谢庄嫂
538.51300,1,25,16777215,1671795502,0,5be20f6d,1213867673805593088,11,不行了，在教研室憋笑太难了
315.79000,1,25,16777215,1671793771,0,d5302f0f,1213853147429149952,11,那会竟然有吕秀才？
417.79600,1,25,16777215,1671793552,0,d4334418,1213851308805864448,11,我一直以为是周星驰的电影里的
654.10800,1,25,16777215,1671792618,0,7fabe6b3,1213843480850554624,11,他是不是觉得自己很帅
180.62600,1,25,16777215,1671792504,0,57fbaba1,1213842520312944896,11,《新警察故事 前传》
793.16000,1,25,16777215,1671789320,0,82d7976a,1213815814667430144,11,接好运，接好运，接好运呢】
751.49000,1,25,16777215,1671789279,0,82d7976a,1213815464585643264,11,接甜甜的恋爱
122.38900,1,25,16777215,1671788239,0,4725287e,1213806746406217472,11,树倒猢狲散啊～
143.94900,1,25,16777215,1671787561,0,399ea133,1213801054400121856,11,现在就是你最火
137.16300,1,25,16777215,1671787474,0,f7eeb8de,1213800325278935296,11,现在你最火了
794.70400,1,25,16777215,1671786844,0,a4558c30,1213795038124081920,11,借你吉言
782.84700,1,25,16777215,1671786401,0,a08ba945,1213791324059376896,11,心想事成 等他回来
205.18600,1,25,16777215,1671785791,0,8ddb35dc,1213786210917490944,11,惊现吴妈
168.17200,1,25,16777215,1671784960,0,60e9ea33,1213779235068600832,11,我的眼睛说它好舒服
78.17500,1,25,16777215,1671781031,0,68417d3b,1213746277838395392,11,这个梗真的是莫名其妙
675.45300,1,25,41194,1671777951,0,2384ea0,1213720442108546048,11,可比克哈哈哈哈哈哈
657.73300,1,25,41194,1671777926,0,2384ea0,1213720235270509056,11,徐福记酥心糖哈哈哈哈哈哈
94.20200,1,25,16777215,1671776247,0,4d91384c,1213706148130089728,11,借你吉言
453.86100,1,25,16777215,1671775468,0,a2c957c8,1213699613555906816,11,当时可喜欢老莲啦
86.12500,1,25,16777215,1671773968,0,4bbe486a,1213687033537535232,11,霍！年头年底简直首尾呼应了！
137.00500,1,25,16777215,1671772938,0,aa61ce7d,1213678388020131072,11,你不是一直都很火嘛
742.68700,1,25,16707842,1671772677,0,51d9d28d,1213676203995784192,11,优雅是间谍过家家的梗，什么就和小品扯上了
36.18800,1,25,16777215,1671770005,0,de4812dc,1213653785524883456,11,祺贵人每天都在告发
237.80900,1,25,16777215,1671769018,0,cce4f574,1213645506413272832,11,40岁的大闺女
112.86500,1,25,16777215,1671769012,0,61660926,1213645458354973184,11,我一直以为是因为她很6
40.42100,1,25,16777215,1671768325,0,860813aa,1213639688955547136,11,我今年看到全是老剧
293.65900,1,25,16777215,1671767369,0,f86f0f7e,1213631672004922368,11,这明明是难说
105.08800,1,25,16777215,1671765085,0,59767842,1213612516006081280,11,难道不是宝娟吗？
50.53900,1,25,16777215,1671761926,0,9e017688,1213586011821845504,11,五豹一来啦哈哈哈哈哈哈哈哈
648.01200,1,25,16777215,1671757420,0,6b5347b7,1213548217979914240,11,我居然还看过
235.24600,1,25,16777215,1671754077,0,6144c168,1213520169469631744,11,这部剧我小时候一集都没落下
539.02600,1,25,16777215,1671732574,0,6b5223eb,1213339790062145536,11,别说，我竟然有点想看那个程咬金的
50.25400,1,25,16777215,1671726172,0,7c6d85a4,1213286084323089920,11,傅慎行•豹
460.56400,1,25,16777215,1671724005,0,870939ab,1213267906285444864,11,↑今年郭冬临表演的小品是：《做核酸》
232.35300,1,25,16777215,1671719829,0,170394a2,1213232878218153728,11,薛平贵：你们知道我是怎么成为乞丐的吗？
341.00900,1,25,16777215,1671719154,0,53182d12,1213227216184480512,11,十万兵马：我招谁惹谁了？
726.61800,1,25,16777215,1671709339,0,751ca63a,1213144884387758592,11,道具组：你清高你了不起
478.59100,5,25,16776960,1671698012,0,b4734551,1213049868168490752,11,我小时候看的时候叫《程咬金》
326.65000,1,25,16777215,1671686048,0,b93d0b52,1212949500143223552,11,侍卫像邵明明的那个笑死我了
70.63700,1,25,41194,1671685819,0,e919d291,1212947578808000768,11,汪百亿补贴行为（doge）
432.49800,1,25,16777215,1671635344,0,99e873c4,1212524167208190976,11,央视才是童年第一代章鱼哥灵魂人物
179.67100,1,25,16777215,1671631007,0,eba72b84,1212487786502838272,11,一个厨子和一个黑帮少爷的决斗
394.03700,1,25,16777215,1671629450,0,b591aaf3,1212474727076354560,11,员工守则之一:不准背下秘方
113.43900,1,25,16777215,1671629407,0,7090e314,1212474365736710400,11,瓜6声优哈哈哈
681.48300,1,25,16777215,1671628975,0,812bc01,1212470739803164928,11,女主竟然是古力娜扎
150.90100,1,25,16777215,1671627653,0,2da136fe,1212459650558115840,11,瓜6真的可爱哈哈哈哈
610.32500,1,25,16777215,1671627364,0,575d1310,1212457228297216768,11,于谦：我反对这门亲事
498.51500,1,25,16777215,1671627267,0,a6a3a524,1212456416003147776,11,《专爱龙爪手》
700.76200,5,25,16646914,1671627093,0,567a764,1212454948584174080,11,控制不好自己的姨太：指陆振华
195.90600,1,25,16777215,1671615381,0,2447530f,1212356704587503616,11,让我想起了徐峥的 碟中谍山
129.42600,1,25,16707842,1671614666,0,841a1225,1212350705810272768,11,全族：有你是我的蝠气
